Time Shifted (hrs),0% Renewables,5% Renewables,10% Renewables,15% Renewables,20% Renewables,25% Renewables,30% Renewables,35% Renewables,40% Renewables,45% Renewables,50% Renewables,55% Renewables,60% Renewables,65% Renewables,70% Renewables,75% Renewables,80% Renewables,85% Renewables,90% Renewables,95% Renewables,100% Renewables
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0022763352116037232,0.012354664447072125,0.02353265591834687,0.05606199229962309,0.08955027028783975,0.12287809137520884,0.18141215397856303,0.21952057323540106,0.28110249452879327,0.33917670229987984,0.3938910100540552,0.3883030925942881,0.3917996792886539,0.4201078304391303,0.44009239761030006
2,0.0,0.0,0.0,0.0,0.0,0.0,0.001407685782290152,0.007650473621426046,0.038084107178126714,0.07305131131471082,0.1377662014444765,0.20780182146281445,0.2385691826732753,0.35418057056272617,0.4333986069881293,0.5009982776786437,0.5114787374481454,0.6344490196072452,0.688074891616404,0.6187178119578035,0.6193863323195525
3,0.0,0.0,0.0,0.0,0.0,0.0,0.005949345596372567,0.016025714642643567,0.041070534389926035,0.10092460031101941,0.16223483944444642,0.22041006078874695,0.33444824608369417,0.3789485335275342,0.47536026748825017,0.6055054439930438,0.6925905009996022,0.6338204149496981,0.673879198403166,0.7619315053188904,0.7825578889991709
4,0.0,0.0,0.0,0.0,0.0,0.0,0.002562788871357477,0.010826817991322108,0.04245918389059387,0.09300222071640496,0.17912433087518964,0.2279530622218511,0.28301043771934975,0.3926285440246713,0.5152079865964971,0.576591568834259,0.6092038098907722,0.705037637233537,0.7416582600774073,0.7219276879607623,0.7821265833119212
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0032661419086191653,0.012167177903678316,0.049778002459344876,0.09871216888039373,0.15543037382963418,0.22570819983493517,0.2839416377265976,0.36822533910598404,0.4361257714939398,0.5645175074640454,0.6171058423210146,0.66491325576313,0.7233696056614278,0.6825133518977069,0.706047904677223
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0037970258000537493,0.011344529296856047,0.043897671813937396,0.0967454483061113,0.13546494276456267,0.17852380470590556,0.24157085424125882,0.30495501509246214,0.3784732835118227,0.47222462413906513,0.5927620009768588,0.5773677214626018,0.5998383032386179,0.6788616265851978,0.7569350727496557
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0009151591064075437,0.004903770444967015,0.027870797393057523,0.07323018281916023,0.13500354343411947,0.15510374701131108,0.20714561203108475,0.2699851626100553,0.33221820329081925,0.43674835005767176,0.4362528928267223,0.6068959094833869,0.5968556885124323,0.6102790991918347,0.603250412890135
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0001377215112784106,0.01166472543333219,0.033149851964692584,0.06592346615112568,0.10472832866590337,0.12465826540721721,0.16938219794779272,0.2293684146135471,0.2830298187650123,0.3134420946731897,0.44136795729552586,0.4516885780517485,0.50223264950276,0.4718311062265866,0.5136799554552993
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014360212439664924,0.017481432521415194,0.05709354568038533,0.09842813708853473,0.09796160307439027,0.12061225408178401,0.17947648042977254,0.20206183510453024,0.3152846201656564,0.3757794160403474,0.39810642933017165,0.46707934214075303,0.47313543281597437,0.4626322911421093
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012272937600583686,0.017646880846556735,0.04753632139198034,0.08359938270221218,0.09005976479254511,0.10609780793438386,0.15300262266258344,0.1918681639486697,0.27086076841672335,0.2738189321399457,0.370445728958109,0.36343624471257613,0.37781421559211764,0.4013619299511341
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005012111739091162,0.014357280170022616,0.037316529815462865,0.05613976422253808,0.06919693913239508,0.08728061964011893,0.12882821657373392,0.16825697173455834,0.18381405615932722,0.27353717219482937,0.2783333045549665,0.3462025647378349,0.35430520954717076,0.3517085059949495
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006870417741182934,0.011146053315372148,0.034340631629717885,0.05492754802773896,0.07488326414103649,0.0883316874389137,0.11154115831436229,0.13227078813006674,0.18011100771205515,0.19426997452396189,0.2621430948811961,0.31549750034887936,0.29866998537413614,0.3032997584626236
